degree;name;semesterAmount;url
Bachelor;;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=75&birim=2&altbirim=-1&program=8139&organizasyonId=61027&mufredatTurId=932001
Bachelor;NutritionandDietetics;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=55&birim=5&altbirim=-1&program=2963&organizasyonId=368&mufredatTurId=932001
Bachelor;PlantProtection;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=6&birim=19&altbirim=-1&program=2685&organizasyonId=90&mufredatTurId=932001
Bachelor;GuidanceandPsychologicalCounseling;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=45&birim=5&altbirim=-1&program=2933&organizasyonId=338&mufredatTurId=932001
Bachelor;EnglishLanguageandLiterature;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=7&birim=5&altbirim=-1&program=2699&organizasyonId=104&mufredatTurId=932001
Bachelor;Geography;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=7&birim=3&altbirim=-1&program=2697&organizasyonId=102&mufredatTurId=932001
Bachelor;InstrumentConstructing;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=17&birim=6&altbirim=-1&program=2795&organizasyonId=200&mufredatTurId=932001
Bachelor;PrimaryScienceTeaching;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=45&birim=11&altbirim=-1&program=2939&organizasyonId=344&mufredatTurId=932001
Bachelor;PrimaryTeaching;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=45&birim=6&altbirim=-1&program=2934&organizasyonId=339&mufredatTurId=932001
Bachelor;Radio;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=8&birim=1&altbirim=-1&program=2713&organizasyonId=118&mufredatTurId=932001
Bachelor;ClassicalArchaeology;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=7&birim=14&altbirim=-1&program=2708&organizasyonId=113&mufredatTurId=932001
Bachelor;FacultyofDentistry;5;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=2&birim=1&altbirim=-1&program=2597&organizasyonId=539&mufredatTurId=932001
Bachelor;Horticultural;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=6&birim=18&altbirim=-1&program=2684&organizasyonId=89&mufredatTurId=932001
Bachelor;Nursing;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=75&birim=1&altbirim=-1&program=3004&organizasyonId=409&mufredatTurId=932001
Bachelor;Bioengineering;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=5&birim=9&altbirim=-1&program=2641&organizasyonId=46&mufredatTurId=932001
Bachelor;FarmStructuresandIrrigation;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=6&birim=23&altbirim=-1&program=2689&organizasyonId=94&mufredatTurId=932001
Bachelor;HospitalityManagement;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=21&birim=1&altbirim=-1&program=2900&organizasyonId=305&mufredatTurId=932001
Bachelor;ProtohistoryandNearEasternArchaeology;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=7&birim=15&altbirim=-1&program=2709&organizasyonId=114&mufredatTurId=932001
Bachelor;SoilScienceandPlantNutrition;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=6&birim=25&altbirim=-1&program=2691&organizasyonId=96&mufredatTurId=932001
Bachelor;TravelManagement;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=21&birim=2&altbirim=-1&program=2901&organizasyonId=306&mufredatTurId=932001
Bachelor;TourismAnimation;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=21&birim=4&altbirim=-1&program=7483&organizasyonId=308&mufredatTurId=932001
Bachelor;InternationalRelations;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=13&birim=3&altbirim=-1&program=2754&organizasyonId=159&mufredatTurId=932001
Bachelor;PhysicalEducationandSportsTeaching;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=29&birim=2&altbirim=-1&program=8150&organizasyonId=61036&mufredatTurId=932001
Bachelor;AstronomyandSpaceSciences;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=4&birim=1&altbirim=-1&program=2600&organizasyonId=5&mufredatTurId=932001
Bachelor;Statistics;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=4&birim=6&altbirim=-1&program=2619&organizasyonId=24&mufredatTurId=932001
Bachelor;ElectricalandElectronicsEngineering;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=5&birim=5&altbirim=-1&program=2633&organizasyonId=38&mufredatTurId=932001
Bachelor;LeatherEngineering;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=5&birim=8&altbirim=-1&program=2640&organizasyonId=45&mufredatTurId=932001
Bachelor;FacultyofPharmacy;10;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=3&birim=1&altbirim=-1&program=2598&organizasyonId=540&mufredatTurId=932001
Bachelor;PreschoolTeaching;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=45&birim=8&altbirim=-1&program=2936&organizasyonId=341&mufredatTurId=932001
Bachelor;Midwifery;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=55&birim=2&altbirim=-1&program=2960&organizasyonId=365&mufredatTurId=932001
Bachelor;FoodEngineering;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=5&birim=4&altbirim=-1&program=2632&organizasyonId=37&mufredatTurId=932001
Bachelor;Advertising;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=8&birim=5&altbirim=-1&program=2716&organizasyonId=121&mufredatTurId=932001
Bachelor;FineArtsEducationinthePaintingEducation;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=45&birim=10&altbirim=-1&program=7735&organizasyonId=60834&mufredatTurId=932001
Bachelor;BusinessAdministration;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=13&birim=2&altbirim=-1&program=2753&organizasyonId=158&mufredatTurId=932001
Bachelor;EnglishTranslationandInterpretation;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=7&birim=17&altbirim=-1&program=2711&organizasyonId=116&mufredatTurId=932001
Bachelor;ComputerandInstructionalTechnologiesTeaching;8;https://ebys.ege.edu.tr/ogrenci/ebp/organizasyon.aspx?kultur=en-US&Mod=1&ustbirim=45&birim=7&altbirim=-1&program=2935&organizasyonId=340&mufredatTurId=932001
